O,Si,S,Mg,Ca,Ti+Cr,Fe,Ni56
0.032015862936580826,0.06229839270963113,0.2770584784655044,0.1863713407077843,0.22010683761639438,0.1411922808180002,0.036655219444265585,0.04430158730183911
0.028189506837863247,0.1080217144078711,0.14169487835520633,0.03563607148243933,0.152497557864351,0.1385576787598968,0.07808137451332736,0.3173212177790448
0.06790980834647356,0.3084580740505031,0.17515774567721548,0.015400571634851208,0.31744053572593905,0.06652215737074231,0.0023863406427693567,0.04672476655150595
0.26167395258994847,0.06600282601947194,0.1472351371327036,0.0080543383580167,0.15600758610890225,0.21093272951192973,0.0031496586240956008,0.14694377165493183
0.03649793725108274,0.10423128890799978,0.24708846440542975,0.15691078994925764,0.10218825815812657,0.19469761270816538,0.06408086853671904,0.09430478008321899
0.15091522634257057,0.04483391163852807,0.034257652805666956,0.017328288764458778,0.3582493577671516,0.15858083339768025,0.22413903036494437,0.011695698918999397
0.050707745814595986,0.041237541094639764,0.12650081459590587,0.32697020355582307,0.3375186056068874,0.10703011025749766,0.0019202360660630219,0.00811474300858719
0.3213990838610872,0.07940020309552526,0.00801724869843798,0.020493015551419167,0.02689049921493264,0.24432780588912817,0.2010462265146673,0.09842591717480251
0.25999278372076423,0.003232345497597364,0.11294382894886187,0.29622255032071093,0.028398752367188754,0.23976411333043152,0.039085957543849456,0.020359668270595835
0.07119349237492571,0.08856197004924092,0.5095689509685023,0.002857068932168793,0.06307059874508258,0.06806374456830401,0.16028326126979714,0.036400913091978494
0.1598925900757656,0.13037050255562832,0.016444085128035284,0.01632616533355538,0.039121899711674,0.4282187130691387,0.18633265421961923,0.02329338990658347
0.0002580090752581541,0.19081726392959983,0.16706863676732753,0.08506457771448755,0.044358595983252494,0.05564623862753128,0.35209584460736476,0.1046908332951785
0.29331522182469155,0.0411982267405318,0.05273655897020269,0.15727088978995826,0.05805648094958202,0.14431908481783456,0.2340456423881421,0.019057894519057084
0.03309398406690059,0.21942518548954662,0.3804230936996497,0.12487216424913675,0.11195414112965582,0.07367128214010228,0.007195113835363457,0.04936503538964488
0.046279433195838326,0.17178538838904134,0.08769146928532125,0.02651920227918869,0.0004556428709153201,0.25456162079755973,0.2583969996329322,0.15431024354920297
0.10430187065189178,0.5074697228314924,0.007666541465716147,0.07543447356744873,0.13279143434162125,0.12149137959984292,0.01396271907514643,0.03688185846684041
0.2627714355994595,0.17642482405882043,0.0009617992984924067,0.06009826312530464,0.18462182261802088,0.006029920404157541,0.04809155791658557,0.261000376979159
0.4220744749788954,0.07272520847232554,0.0019472906842424305,0.11090609692628196,0.1606478596936263,0.07288975557237928,0.06174463097477096,0.09706468269747809
0.2917943554725317,0.10564141679441587,0.11327627964579806,0.156695317253742,0.03292092265195872,0.21159431798105235,0.03748690978851954,0.050590480411981706
0.08849889140619724,0.06065227357656381,0.3725015628171872,0.321585784457265,0.052146284816870454,0.044189421680840314,0.036197712519955086,0.024228068725120906
0.002467728564455075,0.07774232420064774,0.15253788474143606,0.34796597795020334,0.17720298017357788,0.0699102737809601,0.16362068535014176,0.008552145238578064
0.2554001056406302,0.012330691416993111,0.08917652498363458,0.009810671827322297,0.20752290364268614,0.008845067270935288,0.1486183869464026,0.26829564827139574
0.03303768286797596,0.0329298380607512,0.6314602379755042,0.017406337565839453,0.016267210108242166,0.10523541822429694,0.07299776885343509,0.09066550634395501
0.19818601821433332,0.002736542624893596,0.06739314616564425,0.07801566785054058,0.21896684054764,0.3170893931573422,0.09950434764936529,0.018108043790240703
0.18769004154320834,0.0020015003594348124,0.049763315086409986,0.335761416071783,0.07917186729577969,0.024928346079336708,0.085566213449803,0.2351173001142443
0.008977649008101718,0.12366299284429907,0.044522486115334034,0.22195747410713723,0.05368991008665587,0.31816629944075775,0.17403952432813813,0.05498366406957622
0.015703041337944906,0.1032245279947128,0.20056152712333455,0.30622247625265553,0.0734666716216039,0.1087928706264677,0.07440243547481,0.11762644956847061
0.0020324232833475236,0.13706114111639092,0.21344233496376125,0.03312698926585361,0.012129225466474509,0.2326136506677473,0.34447466026848533,0.02511957496793956
0.014925559344807063,0.03156311105681996,0.11672022206383323,0.12573193919812636,0.28486673586032474,0.13677850977118552,0.27901417503364484,0.010399747671258158
0.3433580602361428,0.010966129210509228,0.05456381736752314,0.2109669111804251,0.06114434007310352,0.07966356670051487,0.09292742994792288,0.14640974528385833
0.09437231983776977,0.29544274108692886,0.11669811606879282,0.13212277702118563,0.0494234551520029,0.08938926024530654,0.07790121983364583,0.14465011075436765
0.3432575178654418,0.08937023090293443,0.03247060413823231,0.007141984750993188,0.05765874298899093,0.276630629742408,0.003752893234978245,0.18971739637602114
0.1352407902502107,0.07936592424319341,0.04208115862432331,0.133059931822413,0.28868871358945797,0.06103399979414548,0.1586551993688706,0.10187428230738559
0.07139366470999732,0.035666574850072144,0.1329233380692751,0.10159539121074342,0.25269855415384523,0.21762876074201673,0.05161252131015503,0.13648119495389502
0.06031568951370169,0.020497043000793875,0.3383621993583826,0.17159114620761093,0.02554603973387073,0.21445662492577586,0.08842504760855531,0.08080620965130905
0.37772631007852286,0.08833388748862137,0.023782206199320883,0.07137521320608803,0.13010831011970242,0.1783359797907417,0.043001965085340314,0.08733612803166238
0.18217323712085576,0.0009643751341775929,0.005405886981012198,0.11492261549842794,0.11654162212727148,0.10553788265477712,0.09098510814692007,0.38346927233655775
0.41068877745288496,0.08976492312397016,0.07564251935894761,0.04210873769137707,0.002921861401234898,0.007160569813923192,0.3552549378579405,0.016457673299721608
0.04456208724482717,0.1453656452320969,0.12784740932505306,0.06212063688231807,0.1452812523872856,0.035731875701709374,0.0555888464032641,0.38350224682344575
0.05077680580752567,0.017483561554740727,0.16660217483382156,0.036471197731949324,0.25463956570956814,0.3107622285084757,0.10757415584468154,0.0556903100092373
0.08783383045218535,0.17232771125568963,0.09786563215483343,0.047926005422154,0.06813606996974993,0.39642182612216786,0.11806732648234311,0.011421598140876702
0.03175068770086139,0.1648183015551909,0.039311293766190726,0.05042679313133165,0.010766640569575122,0.04841221052324647,0.34310909281670293,0.3114049799369008
0.016223590003523906,0.12611148296813499,0.11860572795057643,0.11517661875526426,0.24551715176479702,0.09813004308354886,0.23970552517560204,0.04052986029855255
0.09937827814179102,0.13767807698971202,0.1350575782378169,0.23457471268426067,0.045531334362264114,0.16151022025331216,0.07085734513120752,0.11541245419963572
0.18138507492880843,0.06604755952257652,0.07014495539027682,0.27124422052242925,0.16490297865484368,0.06077601734221646,0.17918207387294594,0.006317119765902903
0.00372168060522963,0.08356516334970085,0.0660903523844541,0.22631973060210137,0.12383791640595876,0.18727002400079582,0.17015042538589464,0.13904470726586476
0.1393587724644384,0.1302609975473207,0.01676803773789592,0.16515739854054548,0.002333561200887055,0.4060545885163868,0.03624318956365927,0.10382345442886626
0.16353054209743914,0.002676091708894817,0.24779384445281802,0.08679477197949952,0.24771838514913616,0.009184165460234745,0.02465587624022818,0.21764632291174937
0.157327352968449,0.051290802091435536,0.2297976349214175,0.22390749279139274,0.177203323039749,0.06892966859060841,0.055437517572772044,0.0361062080241757
0.0059558898168654084,0.06763997221072945,0.22041404827208275,0.29080868697371165,0.0008954565288646078,0.227800661913762,0.027935188841432746,0.15855009544255141
0.13518515796748237,0.16347810764815968,0.23066316407798151,0.08273510128180576,0.011143019068944712,0.010795717045384881,0.09968457116055413,0.26631516174968695
0.11819250341220243,0.08569780749268051,0.21664009187476888,0.01620791816894239,0.1024680772486544,0.1406866010900851,0.30482984986155975,0.015277150851106612
